"Гродзенская","АСТРАВЕЦКІ","<раён>","г. п.","Астраве́ц","м.","-ўца́, -ўцо́м, -ўцы́","Astraviec","Островец"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Ажуро́йсці","мн.","-цяў, -цямі, -цях","Ažurojsci","Ажуройсти"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Альгіня́ны","мн.","-ня́н і -ня́наў, -намі, -нах","Aĺhiniany","Ольгиняны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Баяры́","мн.","-ро́ў, -ра́мі, -ра́х","Bajary","Бояры"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Бялькі́шкі","мн.","-шак і -шкаў, -камі, -ках","Biaĺkiški","Белькишки"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Вялі́кія Якента́ны","мн.","-кіх -та́н і -та́наў, -кімі -намі, -кіх -нах","Vialikija Jakientany","Великие Якентаны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Гу́ры","мн.","Гур і Гу́раў, -рамі, -рах","Hury","Гуры"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Дайлі́дкі","мн.","-дак і -дкаў, -камі, -ках","Dajlidki","Дайлидки"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Дзірму́ны","мн.","-му́н і -му́наў, -намі, -нах","Dzirmuny","Дирмуны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Едакла́ні","мн.","-ла́нь і -ла́няў, -нямі, -нях","Jedaklani","Едоклани"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Ізабе́ліна","н.","-на, -нам, -не","Izabielina","Изабелино"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Кавалі́","мн.","-лёў, -ля́мі, -ля́х","Kavali","Ковали"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Келёйці","мн.","-цяў, -цямі, -цях","Kielіojci","Келёйти"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Лі́пнішкі","мн.","-шак і -шкаў, -камі, -ках","Lipniški","Липнишки"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Ма́лі","мн.","-ляў, -лямі, -лях","Mali","Мали"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Малы́я Якента́ны","мн.","-лы́х -та́н і -та́наў, -лы́мі -намі, -лы́х -нах","Malyja Jakientany","Малые Якентаны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Мацка́ны","мн.","-ка́н і -ка́наў, -намі, -нах","Mackany","Мацканы"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Міжа́ны","мн.","-жа́н і -жа́наў, -намі, -нах","Mižany","Мижаны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Міклі́","мн.","-лёў, -ля́мі, -ля́х","Mikli","Микли"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Мілайшу́ны","мн.","-шу́н і -шу́наў, -намі, -нах","Milajšuny","Милайшуны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Навікі́","мн.","-ко́ў, -ка́мі, -ка́х","Naviki","Новики"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Но́выя Якента́ны","мн.","-вых -та́н і -та́наў, -вымі -намі, -вых -нах","Novyja Jakientany","Новые Якентаны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Падпру́ддзе","н.","-ддзя, -ддзем, -ддзі","Padpruddzie","Подпрудье"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Радзюлі́","мн.","-лёў, -ля́мі, -ля́х","Radziuli","Радюли"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Сві́ршчына","ж.","-ны, -най і -наю, -не","Svirščyna","Свирщина"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Субялі́","мн.","-лёў, -ля́мі, -ля́х","Subiali","Субели"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Траке́лі","мн.","-ке́ль і -ке́ляў, -лямі, -лях","Trakieli","Трокели"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Філіпа́ны","мн.","-па́н і -па́наў, -намі, -нах","Filipany","Филипаны"
"Гродзенская","АСТРАВЕЦКІ","АСТРАВЕЦКІ","в.","Юзулі́на","ж.","-ны, -най і -наю, -не","Juzulina","Юзулина"
