"Гомельская","Акцябрскі","<раён>","г. п.","Акця́брскі","м.","-кага, -кім","Akciabrski","Октябрьский"
"Гомельская","Акцябрскі","Акцябрскі","в.","Бу́лкаў","м.","-ва, -вам, -ве","Bulkaŭ","Булков"
"Гомельская","Акцябрскі","Акцябрскі","п.","Бумажко́ва","н.","-ва, -вам, -ве","Bumažkova","Бумажково"
"Гомельская","Акцябрскі","Акцябрскі","в.","Во́земля","ж.","-лі, -ляй і -ляю, -лі","Voziemlia","Оземля"
"Гомельская","Акцябрскі","Акцябрскі","в.","Зале́ссе","н.","-сся, -ссем, -ссі","Zaliessie","Залесье"
"Гомельская","Акцябрскі","Акцябрскі","в.","Заці́шша","н.","-шша, -шшам, -шшы","Zacišša","Затишье"
"Гомельская","Акцябрскі","Акцябрскі","в.","Кавалі́","мн.","-лёў, -ля́мі, -ля́х","Kavali","Ковали"
"Гомельская","Акцябрскі","Акцябрскі","п.","Кавалі́","мн.","-лёў, -ля́мі, -ля́х","Kavali","Ковали"
"Гомельская","Акцябрскі","Акцябрскі","в.","Лаўсты́кі","мн.","-ты́к і -ты́каў, -камі, -ках","Laŭstyki","Лавстыки"
"Гомельская","Акцябрскі","Акцябрскі","в","Ле́скі","мн.","-сак і -скаў, -камі, -ках","Lieski","Лески"
"Гомельская","Акцябрскі","Акцябрскі","в.","Ма́лын","м.","-на,-нам,-не","Malyn","Малын"
"Гомельская","Акцябрскі","Акцябрскі","в.","Но́вая Дубро́ва","ж.","-вай -вы, -вай -вай і -ваю -ваю, -вай -ве","Novaja Dubrova","Новая Дуброва"
"Гомельская","Акцябрскі","Акцябрскі","в.","Но́выя Завалёны","мн.","-вых -лён і -вых -наў, -вымі -намі, -вых -нах","Novyja Zavaliony","Новые Завалёны"
"Гомельская","Акцябрскі","Акцябрскі","п.","Рабко́р","м.","-ра, -рам, -ры","Rabkor","Рабкор"
"Гомельская","Акцябрскі","Акцябрскі","в.","Ратмі́равічы","мн.","-віч і -вічаў, -чамі, -чах","Ratmiravičy","Ратмировичи"
"Гомельская","Акцябрскі","Акцябрскі","п.","Ратмі́раў","м.","-ва, -вам, -ве","Ratmiraŭ","Ратмиров"
"Гомельская","Акцябрскі","Акцябрскі","в.","Смыко́вічы","мн.","-віч і -вічаў, -чамі, -чах","Smykovičy","Смыковичи"
"Гомельская","Акцябрскі","Акцябрскі","в.","Стара́я Дубро́ва","ж.","-ро́й -вы, -ро́й -вай і -ро́ю -ваю, -ро́й -ве","Staraja Dubrova","Старая Дуброва"
"Гомельская","Акцябрскі","Акцябрскі","в.","Стары́я Завалёны","мн.","-ры́х -лён і -ры́х -лёнаў, -ры́мі -намі, -ры́х -нах","Staryja Zavaliony","Старые Завалёны"
"Гомельская","Акцябрскі","Акцябрскі","в.","Шкава́","ж.","-вы, -во́й і -во́ю, -ве","Škava","Шкава"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Вало́савічы","мн.","-віч і -вічаў, -чамі, -чах","Valosavičy","Волосовичи"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Во́спін","м.","-на, -нам, -не","Vospin","Оспин"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Дзе́рбін","м.","-на, -нам, -не","Dzierbin","Дербин"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Зары́жжа","н.","-жжа, -жжам, -жжы","Zaryžža","Зарижье"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Му́шычы","мн.","-шыч і -шычаў, -чамі, -чах","Mušyčy","Мушичи"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Но́вікі","мн.","-каў, -камі, -ках","Noviki","Новики"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Няста́навічы","мн.","-віч і -вічаў, -чамі, -чах","Niastanavičy","Нестановичи"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Параслі́шча","н.","-шча, -шчам, -шчы","Paraslišča","Порослище"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Радко́ў","м.","-ва, -вам, -ве","Radkoŭ","Радков"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Рог","м.","Ро́га, Ро́гам, Ро́зе","Roh","Рог"
"Гомельская","Акцябрскі","Валосавіцкі","в.","Юркі́","мн.","-ко́ў, -ка́мі, -ка́х","Jurki","Юрки"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Андрэ́еўка","мн.","-кі, -кай і -каю, -ўцы","Andrejeŭka","Андреевка"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Бу́бнаўка","н.","-кі, -кай і -каю, -ўцы","Bubnaŭka","Бубновка"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Бу́да","ж.","-ды, -дай і -даю, -дзе","Buda","Буда"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Дзве́сніца","н.","-цы, -цай і -цаю, -цы","Dzviesnica","Двесница"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Зарэ́чча","мн.","-чча, -ччам, -ччы","Zarečča","Заречье"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Кра́сная Слабада́","мн.","-най -ды́, -най -до́й і -наю -до́ю, -най -дзе́","Krasnaja Slabada","Красная Слобода"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Рэ́пін","н.","-на, -нам, -не","Repin","Репин"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Сасно́ўка","ж.","-кі, -кай i -каю, -ўцы","Sasnoŭka","Сосновка"
"Гомельская","Акцябрскі","Краснаслабодскі","в.","Смало́ўка","ж.","-кі, -кай і -каю, -ўцы","Smaloŭka","Смоловка"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Гаць","ж.","-ці, -ццю, -ці","Hać","Гать"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Граб’ё","н.","-б’я́, -б’ём, -б’і́","Hrabjo","Грабьё"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Жу́кавічы","мн.","-віч і -вічаў, -чамі, -чах","Žukavičy","Жуковичи"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Заазе́р’е","н.","-р’я, -р’ем, -р’і","Zaazierje","Заозерье"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Ку́рын","м.","-на, -нам, -не","Kuryn","Курин"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Ламаві́чы","мн.","-ві́ч і -ві́чаў, -чамі, -чах","Lamavičy","Ломовичи"
"Гомельская","Акцябрскі","Ламавіцкі","в.","Ні́ўнае","н.","-нага, -ным","Niŭnaje","Нивное"
"Гомельская","Акцябрскі","Ламавіцкі","в.","По́дгаць","ж.","-ці, -ццю, -ці","Podhać","Подгать"
"Гомельская","Акцябрскі","Любанскі","в.","Гаду́ні","мн.","-няў, -нямі, -нях","Haduni","Годуни"
"Гомельская","Акцябрскі","Любанскі","в.","Гаро́хавішчы","мн.","-вішч і -шчаў, -шчамі, -шчах","Harochaviščy","Гороховищи"
"Гомельская","Акцябрскі","Любанскі","в.","Івані́шчавічы","м.","-віч і -вічаў, -чамі, -чах","Ivaniščavičy","Иванищевичи"
"Гомельская","Акцябрскі","Любанскі","в.","Карма́","м.","-мы́, -мо́й і -мо́ю, -ме́","Karma","Корма"
"Гомельская","Акцябрскі","Любанскі","в.","Лю́бань","ж.","-ні, -нню, -ні","Liubań","Любань"
"Гомельская","Акцябрскі","Любанскі","в.","Міку́ль-Гарадо́к","мн.","Міку́ль-Гарадка́, Міку́ль-Гарадко́м, Міку́льГарадку́","Mikuĺ-Haradok","Микуль-Городок"
"Гомельская","Акцябрскі","Любанскі","в.","Падве́тка","м.","-ткі, -ткай і -ткаю, -тцы","Padvietka","Подветка"
